horario,festividad,lesividad,meteo,lon,lat,num_acc
Tarde,Festivo,No,Despejado,-3.6906666666666665,40.392,0
Tarde,Festivo,No,Despejado,-3.6586666666666665,40.392,0
Tarde,Festivo,No,Despejado,-3.648,40.392,0
Tarde,Festivo,No,Despejado,-3.6373333333333333,40.392,0
Tarde,Festivo,No,Despejado,-3.6266666666666665,40.392,0
Tarde,Festivo,No,Despejado,-3.7013333333333334,40.4,0
Tarde,Festivo,No,Despejado,-3.6586666666666665,40.4,0
Tarde,Festivo,No,Despejado,-3.648,40.4,0
Tarde,Festivo,No,Despejado,-3.6373333333333333,40.4,0
Tarde,Festivo,No,Despejado,-3.6266666666666665,40.4,0
Tarde,Festivo,No,Despejado,-3.7333333333333334,40.408,0
Tarde,Festivo,No,Despejado,-3.6586666666666665,40.408,0
Tarde,Festivo,No,Despejado,-3.648,40.408,0
Tarde,Festivo,No,Despejado,-3.6373333333333333,40.408,0
Tarde,Festivo,No,Despejado,-3.6266666666666665,40.408,0
Tarde,Festivo,No,Despejado,-3.7333333333333334,40.416,0
Tarde,Festivo,No,Despejado,-3.6693333333333333,40.416,0
Tarde,Festivo,No,Despejado,-3.6586666666666665,40.416,0
Tarde,Festivo,No,Despejado,-3.648,40.416,0
Tarde,Festivo,No,Despejado,-3.6373333333333333,40.416,0
Tarde,Festivo,No,Despejado,-3.6266666666666665,40.416,0
Tarde,Festivo,No,Despejado,-3.712,40.424,0
Tarde,Festivo,No,Despejado,-3.6693333333333333,40.424,0
Tarde,Festivo,No,Despejado,-3.6586666666666665,40.424,0
Tarde,Festivo,No,Despejado,-3.648,40.424,0
Tarde,Festivo,No,Despejado,-3.6373333333333333,40.424,0
Tarde,Festivo,No,Despejado,-3.6266666666666665,40.424,0
Tarde,Festivo,No,Despejado,-3.648,40.432,0
Tarde,Festivo,No,Despejado,-3.6373333333333333,40.432,0
Tarde,Festivo,No,Despejado,-3.6266666666666665,40.432,0
Tarde,Festivo,No,Despejado,-3.7333333333333334,40.44,0
Tarde,Festivo,No,Despejado,-3.7013333333333334,40.44,0
Tarde,Festivo,No,Despejado,-3.6906666666666665,40.44,0
Tarde,Festivo,No,Despejado,-3.68,40.44,0
Tarde,Festivo,No,Despejado,-3.6693333333333333,40.44,0
Tarde,Festivo,No,Despejado,-3.648,40.44,0
Tarde,Festivo,No,Despejado,-3.6373333333333333,40.44,0
Tarde,Festivo,No,Despejado,-3.6266666666666665,40.44,0
Tarde,Festivo,No,Despejado,-3.7333333333333334,40.448,0
Tarde,Festivo,No,Despejado,-3.7226666666666666,40.448,0
Tarde,Festivo,No,Despejado,-3.712,40.448,0
Tarde,Festivo,No,Despejado,-3.7013333333333334,40.448,0
Tarde,Festivo,No,Despejado,-3.6906666666666665,40.448,0
Tarde,Festivo,No,Despejado,-3.68,40.448,0
Tarde,Festivo,No,Despejado,-3.6693333333333333,40.448,0
Tarde,Festivo,No,Despejado,-3.6586666666666665,40.448,0
Tarde,Festivo,No,Despejado,-3.648,40.448,0
Tarde,Festivo,No,Despejado,-3.6373333333333333,40.448,0
Tarde,Festivo,No,Despejado,-3.6266666666666665,40.448,0
Tarde,Festivo,No,Despejado,-3.7333333333333334,40.456,0
Tarde,Festivo,No,Despejado,-3.7226666666666666,40.456,0
Tarde,Festivo,No,Despejado,-3.712,40.456,0
Tarde,Festivo,No,Despejado,-3.6906666666666665,40.456,0
Tarde,Festivo,No,Despejado,-3.68,40.456,0
Tarde,Festivo,No,Despejado,-3.6693333333333333,40.456,0
Tarde,Festivo,No,Despejado,-3.6586666666666665,40.456,0
Tarde,Festivo,No,Despejado,-3.648,40.456,0
