fecha,meteo,tipo_accidente,lesividad,distrito,direccion
2017-03-31 17:00:00,Despejado,Colision,Leve,ARGANZUELA                    ,CALLE DE RAFAEL DE RIEGO NUM                                                                         46
2017-03-31 17:00:00,Despejado,Colision,Leve,ARGANZUELA                    ,CALLE DE RAFAEL DE RIEGO NUM                                                                         46
2017-04-01 13:00:00,Despejado,Caida,Leve,SALAMANCA                     ,CALLE DE ALCALA NUM                                                                                  160
2017-04-02 16:00:00,Despejado,Colision,Leve,VILLA DE VALLECAS             ,CALLE DE AMALIA MARCOS - CALLE DEL PUERTO DE PORZUNA
2017-04-02 17:00:00,Despejado,Caida,Leve,CENTRO                        ,CALLE DE SEGOVIA NUM                                                                                 1
2017-04-02 20:00:00,Despejado,Colision,Leve,CIUDAD LINEAL                 ,CALLE DE LEDESMA - CALLE DE SERVANDO BATANERO
2017-04-03 11:00:00,Despejado,Caida,Leve,MONCLOA-ARAVACA               ,CALLE DE LA SENDA DEL REY
2017-04-03 12:00:00,Despejado,Colision,Grave,SALAMANCA                     ,CALLE DE CLAUDIO COELLO - CALLE DE JUAN BRAVO
2017-04-04 11:00:00,Despejado,Caida,Leve,ARGANZUELA                    ,CALLE DEL PUENTE DE SEGOVIA - PASEO DE LA VIRGEN DEL PUERTO
2017-04-05 07:00:00,Despejado,Colision,Leve,RETIRO                        ,AVENIDA DEL MEDITERRANEO NUM                                                                         28
2017-04-05 20:00:00,Despejado,Colision,Leve,CENTRO                        ,CALLE  GRAN VIA - CALLE DE SAN BERNARDO
2017-04-06 16:00:00,Despejado,Colision,Leve,CARABANCHEL                   ,CALLE DEL GENERAL RICARDOS NUM                                                                       37
2017-04-06 20:00:00,Despejado,Caida,Leve,CENTRO                        ,CALLE DE CARRETAS NUM                                                                                7
2017-04-07 01:00:00,Despejado,Caida,Leve,ARGANZUELA                    ,PLAZA DEL EMPERADOR CARLOS V - RONDA DE ATOCHA
2017-04-07 11:00:00,Despejado,Caida,Leve,MONCLOA-ARAVACA               ,CARRETERA DE LA CIUDAD UNIVERSITARIA KM.                                                             1
2017-04-07 14:00:00,Despejado,Caida,Leve,RETIRO                        ,PASEO DEL PRADO NUM                                                                                  1
2017-04-07 14:00:00,Despejado,Imprudencia,Moderada,TETUAN                        ,CALLE DE BERRUGUETE NUM                                                                              51
2017-04-07 21:00:00,Despejado,Imprudencia,Leve,TETUAN                        ,CALLE DE BRAVO MURILLO NUM                                                                           137
