fecha,dia,year,horario,festividad,tipo_accidente,lesividad,meteo,distrito,direccion,lon,lat
2019-04-05 10:00:00,2019-04-05 00:00:00,2019,Mañana,Laborable,Colision,Moderada,Lluvia,CIUDAD LINEAL,CALLE ARRIAGA / CALLE FERNANDO GABRIEL Madrid,-3.6398136,40.4242939
2019-04-06 21:00:00,2019-04-06 00:00:00,2019,Noche,Vispera,Colision,Moderada,Lluvia,ARGANZUELA,CALLE MIGUEL ARREDONDO / CALLE ALONSO CARBONELL Madrid,-3.696397499999999,40.3948269
2019-04-06 20:00:00,2019-04-06 00:00:00,2019,Tarde,Vispera,Caida,Moderada,Lluvia,CENTRO,CALLE VICTORIA 4 Madrid,-3.7017361000000006,40.4162424
2019-04-07 10:00:00,2019-04-07 00:00:00,2019,Mañana,Festivo,Imprudencia,Leve,Despejado,CENTRO,CALLE HORTALEZA 17 Madrid,-3.700363,40.42148270000001
2019-04-08 12:00:00,2019-04-08 00:00:00,2019,Mañana,Laborable,Imprudencia,Leve,Lluvia,USERA,AVDA. MANZANARES 200 Madrid,-3.7026623,40.39277269999999
2019-04-08 12:00:00,2019-04-08 00:00:00,2019,Mañana,Laborable,Imprudencia,Leve,Lluvia,USERA,AVDA. MANZANARES 200 Madrid,-3.7026623,40.39277269999999
2019-04-08 11:00:00,2019-04-08 00:00:00,2019,Mañana,Laborable,Colision,Leve,Lluvia,USERA,CALLE DOLORES BARRANCO / CALLE JUSTA GARCIA Madrid,-3.7095953,40.3828874
2019-04-08 09:00:00,2019-04-08 00:00:00,2019,Mañana,Laborable,Colision,Leve,Lluvia,MONCLOA-ARAVACA,CALLE EXPLANADA / CALLE PEDRO JUSTO DORADO DELLMANS Madrid,-3.712081,40.4486464
2019-04-09 13:00:00,2019-04-09 00:00:00,2019,Tarde,Laborable,Otro,Leve,Lluvia,CENTRO,PASEO. RECOLETOS / CALLE GENOVA Madrid,-3.6909932,40.42518070000001
2019-04-10 17:00:00,2019-04-10 00:00:00,2019,Tarde,Laborable,Caida,Moderada,Despejado,CENTRO,CALLE ALCALA 42 Madrid,-3.6966827000000007,40.41838389999999
2019-04-10 09:00:00,2019-04-10 00:00:00,2019,Mañana,Laborable,Imprudencia,Leve,Despejado,RETIRO,PASEO. FERNAN NUÑEZ 1 Madrid,-3.680757700000001,40.41784579999999
2019-04-10 09:00:00,2019-04-10 00:00:00,2019,Mañana,Laborable,Imprudencia,Leve,Despejado,RETIRO,PASEO. FERNAN NUÑEZ 1 Madrid,-3.680757700000001,40.41784579999999
2019-04-11 16:00:00,2019-04-11 00:00:00,2019,Tarde,Laborable,Caida,Leve,Despejado,CHAMBERÍ,CALLE LUCHANA 34 Madrid,-3.6986587,40.4315082
2019-04-11 09:00:00,2019-04-11 00:00:00,2019,Mañana,Laborable,Colision,Moderada,Despejado,TETUÁN,CALLE SAN GERMAN / CALLE POETA JOAN MARAGALL Madrid,-3.692213,40.4562603
2019-04-12 14:00:00,2019-04-12 00:00:00,2019,Tarde,Laborable,Caida,Moderada,Despejado,CENTRO,CALLE BARCO 32 Madrid,-3.7023047,40.4230222
2019-04-12 14:00:00,2019-04-12 00:00:00,2019,Tarde,Laborable,Caida,Leve,Despejado,CENTRO,CALLE BARCO 32 Madrid,-3.7023047,40.4230222
2019-04-16 19:00:00,2019-04-16 00:00:00,2019,Tarde,Laborable,Caida,Moderada,Despejado,RETIRO,CALLE CLAUDIO MOYANO / PASEO. PRADO Madrid,-3.6920301,40.4093831
2019-04-16 08:00:00,2019-04-16 00:00:00,2019,Mañana,Laborable,Caida,Leve,Despejado,CENTRO,CALLE SANTA ISABEL 50 Madrid,-3.6953095,40.4087755
2019-04-20 21:00:00,2019-04-20 00:00:00,2019,Noche,Vispera,Caida,Moderada,Lluvia,VILLAVERDE,CALLE GILENA 14 Madrid,-3.7088971,40.3434084
2019-04-20 21:00:00,2019-04-20 00:00:00,2019,Noche,Vispera,Colision,Leve,Despejado,CHAMBERÍ,CALLE SANTA ENGRACIA 76 Madrid,-3.6992153,40.43656319999999
