fecha,dia,year,horario,festividad,tipo_accidente,lesividad,distrito,direccion,lon,lat,meteo_Despejado,meteo_Lluvia,meteo_Niebla
2019-01-25 04:00:00,2019-01-25 00:00:00,2019,3,1,Colision,Leve,CENTRO,CALLE GRAN VIA 78 Madrid,-3.710212499999999,40.4233585,1,0,0
2019-01-26 22:00:00,2019-01-26 00:00:00,2019,3,2,Colision,Leve,SALAMANCA,CALLE MARIA DE MOLINA 60 Madrid,-3.6787593,40.4372675,1,0,0
2019-01-27 16:00:00,2019-01-27 00:00:00,2019,2,3,Imprudencia,Moderada,CENTRO,CALLE ALCALA 44 Madrid,-3.6960347,40.4184039,1,0,0
2019-01-27 16:00:00,2019-01-27 00:00:00,2019,2,3,Imprudencia,Leve,CENTRO,CALLE ALCALA 44 Madrid,-3.6960347,40.4184039,1,0,0
2019-01-28 18:00:00,2019-01-28 00:00:00,2019,2,1,Caida,Leve,ARGANZUELA,CALLE MENDEZ ALVARO / CALLE TITAN Madrid,-3.6788784,40.3919749,1,0,0
2019-01-29 16:00:00,2019-01-29 00:00:00,2019,2,1,Caida,Moderada,CENTRO,PASEO. RECOLETOS 23 Madrid,-3.6923964,40.42272420000001,0,1,0
2019-01-30 13:00:00,2019-01-30 00:00:00,2019,2,1,Colision,Moderada,CARABANCHEL,AVDA. CARABANCHEL ALTO 122 Madrid,-3.7537655,40.3655693,1,0,0
2019-01-30 12:00:00,2019-01-30 00:00:00,2019,1,1,Imprudencia,Leve,CARABANCHEL,CALLE TOMASA RUIZ 1 Madrid,-3.7106195,40.39623350000001,1,0,0
2019-02-01 14:00:00,2019-02-01 00:00:00,2019,2,1,Colision,Leve,RETIRO,CALLE DOCTOR ESQUERDO / CALLE DOCTOR ESQUERDO Madrid,-3.670738799999999,40.4136911,1,0,0
2019-02-01 02:00:00,2019-02-01 00:00:00,2019,3,1,Colision,Leve,CHAMBERÍ,CALLE SANTA ENGRACIA / CALLE RIOS ROSAS Madrid,-3.701801,40.4420347,0,1,0
2019-02-01 00:00:00,2019-02-01 00:00:00,2019,3,1,Colision,Leve,SALAMANCA,CALLE FRANCISCO SANTOS / CALLE MARTINEZ IZQUIERDO Madrid,-3.667172,40.4346816,0,1,0
2019-02-02 12:00:00,2019-02-02 00:00:00,2019,1,1,Colision,Leve,PUENTE DE VALLECAS,CALLE MARTINEZ DE LA RIVA 4 Madrid,-3.667746299999999,40.3952584,1,0,0
2019-02-02 11:00:00,2019-02-02 00:00:00,2019,1,1,Imprudencia,Leve,USERA,CALLE MARCELO USERA / CALLE MANUEL NOYA Madrid,-3.7118628,40.3851602,1,0,0
2019-02-02 11:00:00,2019-02-02 00:00:00,2019,1,1,Imprudencia,Leve,USERA,CALLE MARCELO USERA / CALLE MANUEL NOYA Madrid,-3.7118628,40.3851602,1,0,0
2019-02-02 00:00:00,2019-02-02 00:00:00,2019,3,2,Caida,Moderada,SALAMANCA,CALLE MARIA DE MOLINA 18 Madrid,-3.686911899999999,40.4376694,1,0,0
2019-02-03 17:00:00,2019-02-03 00:00:00,2019,2,3,Caida,Leve,MONCLOA-ARAVACA,CALLE ALTAMIRANO / PASEO. PINTOR ROSALES Madrid,-3.7222841,40.4294873,1,0,0
2019-02-06 20:00:00,2019-02-06 00:00:00,2019,2,1,Colision,Leve,CHAMARTÍN,CALLE AGUSTIN DE FOXA 30 Madrid,-3.6852628,40.4700088,1,0,0
2019-02-06 18:00:00,2019-02-06 00:00:00,2019,2,1,Colision,Leve,SALAMANCA,CALLE ALCALA 173 Madrid,-3.6722076,40.4265899,1,0,0
2019-02-06 17:00:00,2019-02-06 00:00:00,2019,2,1,Caida,Leve,CENTRO,CALLE GRAN VIA / CALLE ALCALA Madrid,-3.6966751,40.4186387,1,0,0
2019-02-06 10:00:00,2019-02-06 00:00:00,2019,1,1,Colision,Moderada,SALAMANCA,CALLE JUAN BRAVO 17 Madrid,-3.6816768,40.4330227,1,0,0
2019-02-06 08:00:00,2019-02-06 00:00:00,2019,1,1,Imprudencia,Moderada,FUENCARRAL-EL PARDO,AVDA. LLANO CASTELLANO / AVDA. CARDENAL HERRERA ORIA Madrid,-3.6854183,40.48855959999999,1,0,0
2019-02-06 08:00:00,2019-02-06 00:00:00,2019,1,1,Imprudencia,Leve,FUENCARRAL-EL PARDO,AVDA. LLANO CASTELLANO / AVDA. CARDENAL HERRERA ORIA Madrid,-3.6854183,40.48855959999999,1,0,0
2019-02-07 19:00:00,2019-02-07 00:00:00,2019,2,1,Caida,Leve,CHAMARTÍN,CALLE PRINCIPE DE VERGARA / GTA. LOPEZ DE HOYOS Madrid,-3.679689999999999,40.4409,1,0,0
2019-02-07 16:00:00,2019-02-07 00:00:00,2019,2,1,Colision,Leve,CHAMBERÍ,CALLE VALLEHERMOSO / CALLE FERNANDEZ DE LOS RIOS Madrid,-3.7085893,40.43511489999999,1,0,0
2019-02-07 09:00:00,2019-02-07 00:00:00,2019,1,1,Imprudencia,Leve,CHAMARTÍN,CALLE PRADILLO 42 Madrid,-3.670840600000001,40.44892539999999,1,0,0
2019-02-08 22:00:00,2019-02-08 00:00:00,2019,3,1,Caida,Leve,CENTRO,CALLE ALCALA 13 Madrid,-3.7007596,40.4179651,1,0,0
2019-02-08 22:00:00,2019-02-08 00:00:00,2019,3,2,Colision,Leve,CENTRO,CALLE MESON DE PAREDES / CALLE JUANELO Madrid,-3.705046,40.4113828,1,0,0
2019-02-10 16:00:00,2019-02-10 00:00:00,2019,2,3,Colision,Leve,RETIRO,PASEO. REINA CRISTINA / CALLE ANDRES TORREJON Madrid,-3.6820606,40.4069928,1,0,0
2019-02-10 14:00:00,2019-02-10 00:00:00,2019,2,3,Colision,Leve,CHAMARTÍN,CALLE PRINCIPE DE VERGARA 219 Madrid,-3.6777632000000007,40.45274000000001,1,0,0
2019-02-11 16:00:00,2019-02-11 00:00:00,2019,2,1,Colision,Leve,SALAMANCA,CALLE SERRANO 8 Madrid,-3.6882153,40.4216448,1,0,0
2019-02-11 14:00:00,2019-02-11 00:00:00,2019,2,1,Colision,Moderada,SALAMANCA,CALLE ALCALA 101 Madrid,-3.6834493,40.4215419,1,0,0
2019-02-11 09:00:00,2019-02-11 00:00:00,2019,1,1,Colision,Leve,CHAMBERÍ,CALLE MIGUEL ANGEL 29 Madrid,-3.6917622,40.4376104,1,0,0
2019-02-12 22:00:00,2019-02-12 00:00:00,2019,3,1,Colision,Moderada,CENTRO,PASEO. PRADO 2 Madrid,-3.693998600000001,40.41884930000001,1,0,0
2019-02-12 19:00:00,2019-02-12 00:00:00,2019,2,1,Colision,Leve,CHAMBERÍ,GTA. QUEVEDO / CALLE SAN BERNARDO Madrid,-3.7044863,40.4335071,1,0,0
2019-02-13 18:00:00,2019-02-13 00:00:00,2019,2,1,Imprudencia,Moderada,HORTALEZA,CALLE SILVANO / CALLE FRANCISCO MOSQUEDA Madrid,-3.628083299999999,40.4626547,1,0,0
