fecha,meteo,tipo_accidente,lesividad,distrito,direccion,horario,dia,festividad,lon,lat
2019-01-30 13:00:00,Despejado,Colision,Moderada,CARABANCHEL,AVDA. CARABANCHEL ALTO 122 Madrid,Tarde,2019-01-30,Laborable,-3.7537655,40.3655693
2019-01-30 12:00:00,Despejado,Imprudencia,Leve,CARABANCHEL,CALLE TOMASA RUIZ 1 Madrid,Mañana,2019-01-30,Laborable,-3.7106195,40.39623350000001
2019-02-01 14:00:00,Despejado,Colision,Leve,RETIRO,CALLE DOCTOR ESQUERDO / CALLE DOCTOR ESQUERDO Madrid,Tarde,2019-02-01,Laborable,-3.670738799999999,40.4136911
2019-02-01 02:00:00,Lluvia,Colision,Leve,CHAMBERÍ,CALLE SANTA ENGRACIA / CALLE RIOS ROSAS Madrid,Noche,2019-02-01,Laborable,-3.701801,40.4420347
2019-02-01 00:00:00,Lluvia,Colision,Leve,SALAMANCA,CALLE FRANCISCO SANTOS / CALLE MARTINEZ IZQUIERDO Madrid,Noche,2019-02-01,Laborable,-3.667172,40.4346816
2019-02-02 12:00:00,Despejado,Colision,Leve,PUENTE DE VALLECAS,CALLE MARTINEZ DE LA RIVA 4 Madrid,Mañana,2019-02-02,Laborable,-3.667746299999999,40.3952584
2019-02-02 11:00:00,Despejado,Imprudencia,Leve,USERA,CALLE MARCELO USERA / CALLE MANUEL NOYA Madrid,Mañana,2019-02-02,Laborable,-3.7118628,40.3851602
2019-02-02 11:00:00,Despejado,Imprudencia,Leve,USERA,CALLE MARCELO USERA / CALLE MANUEL NOYA Madrid,Mañana,2019-02-02,Laborable,-3.7118628,40.3851602
2019-02-02 00:00:00,Despejado,Caida,Moderada,SALAMANCA,CALLE MARIA DE MOLINA 18 Madrid,Noche,2019-02-02,Laborable,-3.686911899999999,40.4376694
2019-02-03 17:00:00,Despejado,Caida,Leve,MONCLOA-ARAVACA,CALLE ALTAMIRANO / PASEO. PINTOR ROSALES Madrid,Tarde,2019-02-03,Festivo,-3.7222841,40.4294873
2019-02-06 20:00:00,Despejado,Colision,Leve,CHAMARTÍN,CALLE AGUSTIN DE FOXA 30 Madrid,Tarde,2019-02-06,Laborable,-3.6852628,40.4700088
2019-02-06 18:00:00,Despejado,Colision,Leve,SALAMANCA,CALLE ALCALA 173 Madrid,Tarde,2019-02-06,Laborable,-3.6722076,40.4265899
2019-02-06 17:00:00,Despejado,Caida,Leve,CENTRO,CALLE GRAN VIA / CALLE ALCALA Madrid,Tarde,2019-02-06,Laborable,-3.6966751,40.4186387
2019-02-06 10:00:00,Despejado,Colision,Moderada,SALAMANCA,CALLE JUAN BRAVO 17 Madrid,Mañana,2019-02-06,Laborable,-3.6816768,40.4330227
2019-02-06 08:00:00,Despejado,Imprudencia,Moderada,FUENCARRAL-EL PARDO,AVDA. LLANO CASTELLANO / AVDA. CARDENAL HERRERA ORIA Madrid,Mañana,2019-02-06,Laborable,-3.6854183,40.48855959999999
2019-02-06 08:00:00,Despejado,Imprudencia,Leve,FUENCARRAL-EL PARDO,AVDA. LLANO CASTELLANO / AVDA. CARDENAL HERRERA ORIA Madrid,Mañana,2019-02-06,Laborable,-3.6854183,40.48855959999999
2019-02-07 19:00:00,Despejado,Caida,Leve,CHAMARTÍN,CALLE PRINCIPE DE VERGARA / GTA. LOPEZ DE HOYOS Madrid,Tarde,2019-02-07,Laborable,-3.679689999999999,40.4409
2019-02-07 16:00:00,Despejado,Colision,Leve,CHAMBERÍ,CALLE VALLEHERMOSO / CALLE FERNANDEZ DE LOS RIOS Madrid,Tarde,2019-02-07,Laborable,-3.7085893,40.43511489999999
2019-02-07 09:00:00,Despejado,Imprudencia,Leve,CHAMARTÍN,CALLE PRADILLO 42 Madrid,Mañana,2019-02-07,Laborable,-3.6708406,40.4489254
2019-02-08 22:00:00,Despejado,Caida,Leve,CENTRO,CALLE ALCALA 13 Madrid,Noche,2019-02-08,Laborable,-3.7007596,40.4179651
2019-02-08 22:00:00,Despejado,Colision,Leve,CENTRO,CALLE MESON DE PAREDES / CALLE JUANELO Madrid,Noche,2019-02-08,Laborable,-3.705046,40.4113828
2019-02-10 16:00:00,Despejado,Colision,Leve,RETIRO,PASEO. REINA CRISTINA / CALLE ANDRES TORREJON Madrid,Tarde,2019-02-10,Festivo,-3.6820606,40.4069928
2019-02-10 14:00:00,Despejado,Colision,Leve,CHAMARTÍN,CALLE PRINCIPE DE VERGARA 219 Madrid,Tarde,2019-02-10,Festivo,-3.6777632,40.45274
2019-02-11 16:00:00,Despejado,Colision,Leve,SALAMANCA,CALLE SERRANO 8 Madrid,Tarde,2019-02-11,Laborable,-3.6882153,40.4216448
2019-02-11 14:00:00,Despejado,Colision,Moderada,SALAMANCA,CALLE ALCALA 101 Madrid,Tarde,2019-02-11,Laborable,-3.6834493,40.4215419
2019-02-11 09:00:00,Despejado,Colision,Leve,CHAMBERÍ,CALLE MIGUEL ANGEL 29 Madrid,Mañana,2019-02-11,Laborable,-3.6917622,40.4376104
2019-02-12 22:00:00,Despejado,Colision,Moderada,CENTRO,PASEO. PRADO 2 Madrid,Noche,2019-02-12,Laborable,-3.6939986,40.41884930000001
2019-02-12 19:00:00,Despejado,Colision,Leve,CHAMBERÍ,GTA. QUEVEDO / CALLE SAN BERNARDO Madrid,Tarde,2019-02-12,Laborable,-3.7044863,40.4335071
2019-02-13 18:00:00,Despejado,Imprudencia,Moderada,HORTALEZA,CALLE SILVANO / CALLE FRANCISCO MOSQUEDA Madrid,Tarde,2019-02-13,Laborable,-3.628083299999999,40.4626547
2019-02-13 18:00:00,Despejado,Imprudencia,Leve,HORTALEZA,CALLE SILVANO / CALLE FRANCISCO MOSQUEDA Madrid,Tarde,2019-02-13,Laborable,-3.628083299999999,40.4626547
2019-02-13 14:00:00,Despejado,Colision,Moderada,SALAMANCA,CALLE CONDE DE PEÑALVER 38 Madrid,Tarde,2019-02-13,Laborable,-3.6749609,40.4290821
2019-02-14 20:00:00,Despejado,Imprudencia,Leve,CHAMBERÍ,CALLE SANTA ENGRACIA 6 Madrid,Tarde,2019-02-14,Laborable,-3.6955671,40.4286654
2019-02-14 20:00:00,Despejado,Imprudencia,Leve,CHAMBERÍ,CALLE SANTA ENGRACIA 6 Madrid,Tarde,2019-02-14,Laborable,-3.6955671,40.4286654
2019-02-14 18:00:00,Despejado,Caida,Leve,RETIRO,AVDA. MENENDEZ PELAYO 38 Madrid,Tarde,2019-02-14,Laborable,-3.6807097,40.4051017
2019-02-14 18:00:00,Despejado,Colision,Leve,MORATALAZ,AUTOV. M-40 CON AVDA. DOCTOR GARCIA TAPIA Madrid,Tarde,2019-02-14,Laborable,-3.6970276,40.36453909999999
2019-02-14 14:00:00,Despejado,Colision,Leve,RETIRO,PASEO. INFANTA ISABEL 17 Madrid,Tarde,2019-02-14,Laborable,-3.6874172,40.4069569
2019-02-15 14:00:00,Despejado,Caida,Leve,RETIRO,GTA. ANGEL CAIDO 4 Madrid,Tarde,2019-02-15,Laborable,-3.6878257,40.4098609
